city_id,city,lat_city,lon_city,temp_d1,temp_d2,temp_d3,temp_d4,temp_d5,weather_d1,weather_d2,weather_d3,weather_d4,weather_d5,clouds_d1,clouds_d2,clouds_d3,clouds_d4,clouds_d5,wind_d1,wind_d2,wind_d3,wind_d4,wind_d5,humidity_d1,humidity_d2,humidity_d3,humidity_d4,humidity_d5,pop_d1,pop_d2,pop_d3,pop_d4,pop_d5,rain_d1,rain_d2,rain_d3,rain_d4,rain_d5,avg_temp,avg_clouds,avg_wind,avg_humidity,avg_pop,avg_rain,avg_weather
1,Mont Saint Michel,48.6359541,-1.511459954959514,5.38,2.99,5.53,7.67,6.77,Rain,Rain,Rain,Rain,Rain,47,83,99,84,100,10.57,5.66,5.03,8.37,8.91,83,87,88,84,93,0.59,0.47,0.28,0.39,0.91,0.39,0.57,0.32,0.12,0.83,5.668,82.6,7.708000000000001,87.0,0.528,0.446,Rain
2,St Malo,48.649518,-2.0260409,5.78,4.28,6.57,7.79,7.2,Rain,Rain,Rain,Clouds,Rain,63,75,100,82,100,10.8,6.68,6.31,8.65,11.82,84,80,83,83,90,0.68,0.48,0.23,0.35,0.99,0.37,0.29,0.18,0.0,1.78,6.324,84.0,8.852,84.0,0.546,0.524,Rain
3,Bayeux,49.2764624,-0.7024738,4.95,2.65,4.61,7.9,7.48,Rain,Rain,Rain,Rain,Rain,53,64,40,99,100,8.77,5.51,5.41,7.7,7.57,87,90,91,84,92,0.72,0.63,0.33,0.45,0.95,0.71,0.34,0.12,0.26,2.73,5.518,71.2,6.991999999999999,88.8,0.616,0.8320000000000001,Rain
4,Le Havre,49.4938975,0.1079732,6.73,4.76,7.54,9.25,7.98,Rain,Rain,Rain,Rain,Rain,47,82,42,100,100,11.59,7.87,7.39,9.38,8.88,77,80,82,82,89,0.77,0.54,0.57,0.61,0.74,1.12,0.61,0.98,0.53,0.79,7.252000000000001,74.2,9.022000000000002,82.0,0.6459999999999999,0.806,Rain
5,Rouen,49.4404591,1.0939658,4.92,2.52,4.39,8.97,6.79,Rain,Clouds,Rain,Rain,Rain,70,49,82,100,100,8.45,4.77,5.38,8.2,4.84,80,86,93,87,92,0.93,0.18,0.4,0.76,0.37,0.82,0.0,0.22,1.7,0.21,5.517999999999999,80.2,6.327999999999999,87.6,0.5280000000000001,0.5900000000000001,Rain
6,Paris,48.8588897,2.3200410217200766,6.48,5.09,5.95,9.97,6.88,Rain,Clouds,Rain,Rain,Rain,100,91,78,100,100,7.24,4.13,4.92,8.1,4.6,70,72,81,79,86,0.92,0.0,0.55,0.94,0.91,0.5,0.0,0.25,4.93,0.66,6.8740000000000006,93.8,5.798,77.6,0.664,1.268,Rain
7,Amiens,49.8941708,2.2956951,6.04,2.92,4.36,9.06,7.32,Rain,Clouds,Rain,Rain,Rain,96,50,93,100,100,8.57,5.67,5.25,6.58,5.03,78,84,92,88,92,0.92,0.07,0.41,0.99,0.72,1.07,0.0,0.29,2.04,0.36,5.94,87.8,6.220000000000001,86.8,0.6219999999999999,0.752,Rain
8,Lille,50.6365654,3.0635282,6.05,3.84,5.09,4.44,7.82,Rain,Rain,Rain,Rain,Rain,96,73,100,100,100,8.12,5.92,6.35,7.96,6.31,71,78,85,92,89,0.46,0.29,0.51,1.0,0.75,0.15,0.13,0.32,6.68,0.4,5.448,93.8,6.932,83.0,0.602,1.536,Rain
9,Strasbourg,48.584614,7.7507127,8.56,5.18,3.25,6.36,6.06,Rain,Clouds,Clear,Rain,Clouds,100,84,3,100,100,7.51,5.39,2.86,4.22,0.74,71,79,82,81,91,1.0,0.21,0.0,0.81,0.03,1.54,0.0,0.0,0.85,0.0,5.882,77.4,4.143999999999999,80.8,0.41,0.47800000000000004,Clouds
10,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,4.53,1.77,-0.91,2.09,2.69,Rain,Clouds,Clear,Rain,Clouds,100,88,7,100,100,7.08,2.9,1.85,3.72,1.05,78,84,88,91,91,1.0,0.37,0.0,0.98,0.19,2.98,0.0,0.0,1.32,0.0,2.034,79.0,3.3200000000000003,86.4,0.508,0.86,Clouds
11,Colmar,48.0777517,7.3579641,7.9,5.18,2.34,5.07,6.32,Rain,Clouds,Clear,Rain,Rain,100,94,10,100,89,7.35,4.13,2.12,3.85,1.79,76,81,88,92,88,1.0,0.42,0.0,0.98,0.39,3.19,0.0,0.0,2.44,0.16,5.362,78.6,3.8480000000000003,85.0,0.558,1.158,Rain
12,Eguisheim,48.0447968,7.3079618,7.75,5.22,2.3,4.81,6.49,Rain,Clouds,Clouds,Rain,Rain,100,97,11,100,89,7.39,3.58,2.05,3.5,1.86,77,81,89,94,88,1.0,0.43,0.0,0.99,0.21,3.63,0.0,0.0,3.06,0.24,5.314,79.4,3.6759999999999997,85.8,0.526,1.386,Rain
13,Besancon,47.2380222,6.0243622,6.35,3.96,3.36,9.14,5.96,Rain,Rain,Clouds,Rain,Rain,100,72,64,100,100,6.71,4.76,3.0,8.72,5.37,85,87,83,76,88,1.0,0.38,0.0,1.0,0.63,5.07,0.16,0.0,2.68,0.18,5.754,87.2,5.712,83.8,0.602,1.6179999999999999,Rain
14,Dijon,47.3215806,5.0414701,5.88,2.82,3.82,6.88,6.02,Rain,Clouds,Clouds,Rain,Rain,100,98,96,100,100,7.09,4.1,4.72,11.91,7.44,84,85,86,90,93,0.69,0.02,0.0,1.0,0.86,0.24,0.0,0.0,1.75,1.08,5.084,98.8,7.052,87.6,0.514,0.6140000000000001,Rain
15,Annecy,45.8992348,6.1288847,7.46,3.39,0.94,4.19,3.79,Rain,Snow,Clouds,Rain,Rain,100,100,67,100,98,3.34,2.44,1.84,2.89,2.02,98,97,92,95,96,1.0,0.99,0.0,1.0,0.85,7.89,0.0,0.0,1.69,1.18,3.9539999999999997,93.0,2.506,95.6,0.768,2.152,Rain
16,Grenoble,45.1875602,5.7357819,9.01,4.77,2.86,6.64,5.9,Rain,Snow,Clouds,Rain,Rain,100,97,26,100,100,2.47,1.99,1.83,2.86,2.16,96,88,88,93,97,1.0,0.96,0.0,1.0,0.71,1.98,0.0,0.0,2.25,0.14,5.836,84.6,2.262,92.4,0.734,0.874,Rain
17,Lyon,45.7578137,4.8320114,8.67,5.3,6.2,7.36,7.02,Rain,Clouds,Clouds,Rain,Rain,100,100,100,100,100,4.47,3.42,3.13,6.78,5.68,69,74,62,84,79,1.0,0.34,0.0,0.84,0.56,7.37,0.0,0.0,0.49,0.46,6.909999999999999,100.0,4.696,73.6,0.548,1.6640000000000001,Rain
18,Gorges du Verdon,43.7496562,6.3285616,7.28,0.05,-0.15,2.88,2.05,Rain,Clouds,Clear,Rain,Rain,100,48,6,100,99,2.17,2.13,2.15,2.67,1.52,97,94,84,96,95,0.85,0.0,0.0,1.0,0.36,0.69,0.0,0.0,1.31,0.21,2.4219999999999997,70.6,2.1279999999999997,93.2,0.442,0.442,Rain
19,Bormes les Mimosas,43.1506968,6.3419285,13.11,9.16,8.34,11.09,9.7,Rain,Clouds,Clear,Rain,Rain,100,40,2,100,76,5.36,7.73,6.3,3.72,3.74,92,63,58,91,75,0.51,0.0,0.0,0.98,0.45,0.49,0.0,0.0,1.69,0.25,10.280000000000001,63.6,5.37,75.8,0.388,0.48599999999999993,Rain
20,Cassis,43.2140359,5.5396318,13.84,10.15,9.17,12.11,10.09,Rain,Clouds,Clear,Rain,Rain,100,23,1,100,100,2.17,7.75,6.91,5.21,5.6,88,62,65,90,71,0.36,0.0,0.0,0.92,0.32,0.34,0.0,0.0,1.15,0.25,11.072,64.8,5.5280000000000005,75.2,0.32,0.348,Rain
21,Marseille,43.2961743,5.3699525,13.96,10.31,9.32,12.35,10.26,Rain,Clouds,Clear,Rain,Clouds,100,15,1,100,99,2.05,7.6,6.89,6.32,5.35,87,60,64,87,68,0.41,0.0,0.0,0.83,0.22,0.34,0.0,0.0,0.91,0.0,11.24,63.0,5.642,73.2,0.292,0.25,Clouds
22,Aix en Provence,43.5298424,5.4474738,12.02,6.9,5.86,8.04,7.38,Rain,Clouds,Clear,Rain,Clouds,100,20,4,100,97,0.62,4.28,3.35,4.78,3.09,90,67,69,92,77,0.56,0.0,0.0,0.93,0.17,0.38,0.0,0.0,0.5,0.0,8.040000000000001,64.2,3.224,79.0,0.332,0.176,Clouds
23,Avignon,43.9492493,4.8059012,12.02,6.78,5.99,9.35,8.01,Rain,Clouds,Clouds,Rain,Clouds,100,93,56,100,100,6.18,3.92,1.55,6.55,3.6,84,69,70,83,73,0.89,0.0,0.0,0.68,0.04,1.59,0.0,0.0,0.37,0.0,8.43,89.8,4.36,75.8,0.322,0.392,Clouds
24,Uzes,44.0121279,4.4196718,10.21,5.91,5.64,8.34,7.17,Rain,Clouds,Clouds,Rain,Clouds,100,100,71,100,100,6.78,4.1,3.0,4.68,4.54,65,71,71,89,74,1.0,0.0,0.0,0.52,0.06,1.79,0.0,0.0,0.14,0.0,7.454000000000001,94.2,4.619999999999999,74.0,0.316,0.386,Clouds
25,Nimes,43.8374249,4.3600687,10.96,6.84,6.98,9.39,8.08,Rain,Clouds,Clouds,Clouds,Clouds,100,99,79,100,100,7.62,4.78,3.32,4.65,5.3,62,67,65,91,70,0.95,0.0,0.0,0.35,0.02,1.48,0.0,0.0,0.0,0.0,8.45,95.6,5.134,71.0,0.26399999999999996,0.296,Clouds
26,Aigues Mortes,43.5661521,4.19154,12.29,8.62,8.73,11.42,9.73,Rain,Clouds,Clouds,Clouds,Clouds,100,78,78,100,99,9.48,5.41,4.75,4.92,5.22,63,63,64,87,63,0.9,0.0,0.0,0.07,0.0,0.59,0.0,0.0,0.0,0.0,10.157999999999998,91.0,5.956,68.0,0.194,0.118,Clouds
27,Saintes Maries de la mer,43.4515922,4.4277202,12.68,9.11,8.79,12.67,10.01,Rain,Clouds,Clouds,Clouds,Clouds,100,42,66,100,100,11.18,6.4,4.91,6.79,5.82,81,63,64,84,63,0.83,0.0,0.0,0.14,0.0,0.65,0.0,0.0,0.0,0.0,10.652,81.6,7.019999999999999,71.0,0.194,0.13,Clouds
28,Collioure,42.52505,3.0831554,10.36,7.67,7.13,8.63,8.0,Clouds,Rain,Clouds,Clouds,Rain,75,89,29,56,100,10.02,2.2,2.57,1.76,2.68,71,79,76,83,78,0.3,0.34,0.04,0.0,0.44,0.0,0.26,0.0,0.0,0.95,8.358,69.8,3.846,77.4,0.22400000000000003,0.242,Clouds
29,Carcassonne,43.2130358,2.3491069,7.63,6.18,7.01,6.33,7.2,Rain,Rain,Rain,Clouds,Clouds,99,88,97,82,92,9.31,5.15,6.04,3.88,8.38,88,81,82,92,69,0.93,0.45,0.58,0.21,0.26,2.78,0.21,0.54,0.0,0.0,6.87,91.6,6.552,82.4,0.48599999999999993,0.706,Rain
30,Ariege,42.9927428,1.6124975,6.21,4.27,4.97,8.87,4.85,Rain,Rain,Rain,Rain,Clouds,100,97,100,87,99,3.15,2.11,2.34,2.12,3.99,96,88,90,82,74,1.0,0.6,0.58,0.63,0.34,4.19,0.65,0.5,0.1,0.0,5.8340000000000005,96.6,2.742,86.0,0.63,1.088,Rain
31,Toulouse,43.6044622,1.4442469,7.28,5.45,5.84,7.58,6.02,Rain,Rain,Rain,Rain,Clouds,100,100,100,97,100,6.11,6.69,5.96,2.2,7.27,82,85,88,91,80,0.91,0.76,0.64,0.9,0.28,0.99,0.82,0.38,2.99,0.0,6.434,99.4,5.646,85.2,0.6980000000000001,1.036,Rain
32,Montauban,44.0175835,1.3549991,7.48,4.58,5.44,8.6,5.74,Rain,Rain,Rain,Rain,Rain,100,100,98,100,100,6.43,5.76,5.32,4.45,6.74,81,90,93,93,90,0.87,0.91,0.78,1.0,0.61,0.31,2.08,0.67,3.7,1.71,6.368,99.6,5.739999999999999,89.4,0.834,1.6939999999999997,Rain
33,Biarritz,43.4832523,-1.5592776,9.47,7.5,8.46,11.43,9.61,Rain,Rain,Rain,Rain,Rain,100,100,100,100,99,7.17,6.91,5.59,12.26,7.93,70,84,86,75,67,0.95,1.0,0.82,0.75,0.62,1.01,7.06,2.14,2.1,1.46,9.294,99.8,7.9719999999999995,76.4,0.828,2.754,Rain
34,Bayonne,43.4945144,-1.4736657,9.23,7.01,8.18,11.25,9.25,Rain,Rain,Rain,Rain,Rain,100,100,100,100,98,6.25,5.61,4.95,11.21,6.79,72,87,88,75,68,0.96,1.0,0.84,0.77,0.6,1.03,7.58,2.37,2.28,1.26,8.984,99.6,6.962000000000001,78.0,0.834,2.904,Rain
35,La Rochelle,46.1591126,-1.1520434,8.87,5.97,8.88,9.5,7.85,Rain,Rain,Rain,Rain,Rain,17,99,100,64,96,11.11,6.96,5.28,17.61,11.15,70,81,76,80,71,0.86,0.99,0.48,0.7,0.34,0.99,1.99,0.37,0.45,0.1,8.214,75.2,10.422,75.6,0.674,0.78,Rain
